topic,topicKnowledge,overAllTopicKnowledge,quizWiseTopicKnowledge,advanceTopicKnowledge,overAllAdvanceTopicKnowledge,quizWiseAdvanceTopicKnowledge,easyTopicKnowledge,overAllEasyTopicKnowledge,quizWiseEasyTopicKnowledge,knowledge,overAllKnowledge,quizWiseKnowledge,advancedKnowledge,overAllAdvancedKnowledge,quizWiseAdvancedKnowledge,easyKnowledge,overAllEasyKnowledge,quizWiseEasyKnowledge,timeSpentViewingMaterial,overAllAttemptAverage,quizWiseAttemptAverage,activeOrReflective,sensoryOrIntuitive,visualOrVerbal,sequentialOrGlobal,recommendation
inner classes,0.046875,0.03125,0.0625,0.0,0.0,0.0,0.09375,0.0625,0.125,0.7624615557435106,1.0549991096866096,0.46992400180041155,0.1597800925925926,0.25833333333333336,0.06122685185185186,0.07925889756944444,0.12578125,0.032736545138888885,0,2.5,4.0,5,1,11,7,http://www.javaworld.com/article/2979739/learn-java/java-101-classes-and-objects-in-java.html
assertions,0.03125,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,0.125,0.8139661853731401,1.058471331908832,0.5694610388374485,0.1597800925925926,0.25833333333333336,0.06122685185185186,0.07925889756944444,0.12578125,0.032736545138888885,0,2.5,4.0,5,1,11,7,http://www.javatpoint.com/assertion-in-java
classes,0.0546875,0.03125,0.078125,0.0,0.0,0.0,0.109375,0.0625,0.15625,0.8686536853731402,1.1313879985754987,0.6059193721707818,0.1597800925925926,0.25833333333333336,0.06122685185185186,0.07925889756944444,0.12578125,0.032736545138888885,0,2.5,4.0,5,1,11,7,http://www.javaworld.com/article/2979739/learn-java/java-101-classes-and-objects-in-java.html
garbage collection,0.09375,0.0625,0.125,0.1875,0.125,0.25,0.0,0.0,0.0,0.960956926113881,1.2043046652421652,0.7176091869855967,0.1597800925925926,0.25833333333333336,0.06122685185185186,0.07925889756944444,0.12578125,0.032736545138888885,0,2.5,4.0,5,1,11,7,http://javarevisited.blogspot.com/2011/04/garbage-collection-in-java.html
objects and collections,0.3125,0.25,0.375,0.125,0.0,0.25,0.5,0.5,0.5,1.0732254446323997,1.3455083689458691,0.80094252031893,0.1597800925925926,0.25833333333333336,0.06122685185185186,0.07925889756944444,0.12578125,0.032736545138888885,0,2.5,4.0,5,1,11,7,http://beginnersbook.com/java-collections-tutorials/
flow control,0.125,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.5763556505223172,1.1235754985754987,0.029135802469135805,0.2951388888888889,0.5833333333333334,0.006944444444444444,0.27291666666666664,0.5416666666666666,0.004166666666666667,0,1.0,1.0,-11,-11,-11,-11,https://javatutorial.net/java-control-flow-statements
exceptions,0.3125,0.5,0.125,0.375,0.5,0.25,0.25,0.5,0.0,0.6620037986704653,1.2624643874643875,0.06154320987654321,0.2951388888888889,0.5833333333333334,0.006944444444444444,0.27291666666666664,0.5416666666666666,0.004166666666666667,0,1.0,1.0,-11,-11,-11,-11,https://www.youtube.com/watch?v=4my7mKFaNQs
threads,0.0625,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.25,0.6504297245963913,1.2207977207977208,0.08006172839506173,0.2951388888888889,0.5833333333333334,0.006944444444444444,0.27291666666666664,0.5416666666666666,0.004166666666666667,0,1.0,1.0,-11,-11,-11,-11,http://beginnersbook.com/2013/03/multithreading-in-java/
core,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6434852801519468,1.2207977207977208,0.06617283950617285,0.2951388888888889,0.5833333333333334,0.006944444444444444,0.27291666666666664,0.5416666666666666,0.004166666666666667,0,1.0,1.0,-11,-11,-11,-11,http://www.tutorialspoint.com/java/java_inheritance.htm
declarations and access control,0.25,0.5,0.0,0.25,0.5,0.0,0.25,0.5,0.0,0.754596391263058,1.443019943019943,0.06617283950617285,0.2951388888888889,0.5833333333333334,0.006944444444444444,0.27291666666666664,0.5416666666666666,0.004166666666666667,0,1.0,1.0,-11,-11,-11,-11,http://www.jchq.net/certkey/0101certkey.htm
operators and assignments,0.125,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.7962630579297246,1.5263532763532763,0.06617283950617285,0.2951388888888889,0.5833333333333334,0.006944444444444444,0.27291666666666664,0.5416666666666666,0.004166666666666667,0,1.0,1.0,-11,-11,-11,-11,http://www.wideskills.com/java-tutorial/java-operators-tutorial
inner classes,0.125,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.8518186134852802,1.6374643874643875,0.06617283950617285,0.2951388888888889,0.5833333333333334,0.006944444444444444,0.27291666666666664,0.5416666666666666,0.004166666666666667,0,1.0,1.0,-11,-11,-11,-11,http://www.codejava.net/java-core/the-java-language/java-keyword-assert
assertions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8379297245963913,1.6096866096866096,0.06617283950617285,0.2951388888888889,0.5833333333333334,0.006944444444444444,0.27291666666666664,0.5416666666666666,0.004166666666666667,0,1.0,1.0,-11,-11,-11,-11,http://www.javatpoint.com/assertion-in-java
classes,0.125,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.9073741690408358,1.7485754985754987,0.06617283950617285,0.2951388888888889,0.5833333333333334,0.006944444444444444,0.27291666666666664,0.5416666666666666,0.004166666666666667,0,1.0,1.0,-11,-11,-11,-11,http://www.codejava.net/java-core/the-java-language/java-keyword-assert
garbage collection,0.125,0.25,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.9629297245963914,1.8596866096866098,0.06617283950617285,0.2951388888888889,0.5833333333333334,0.006944444444444444,0.27291666666666664,0.5416666666666666,0.004166666666666667,0,1.0,1.0,-11,-11,-11,-11,https://plumbr.eu/handbook/what-is-garbage-collection
objects and collections,0.1875,0.25,0.125,0.0,0.0,0.0,0.375,0.5,0.25,1.0346889838556506,1.970797720797721,0.09858024691358025,0.2951388888888889,0.5833333333333334,0.006944444444444444,0.27291666666666664,0.5416666666666666,0.004166666666666667,0,1.0,1.0,-11,-11,-11,-11,http://beginnersbook.com/java-collections-tutorials/
